item_id,title,brand,rating,num_ratings,price,shipping,img_url,max_res,display_port,hdmi,direct_x,model,shipping_fee
932,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card",GIGABYTE,4.9,39,849.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4070-ti-gv-n407tgaming-oc-12gd/p/N82E16814932580,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,GV-N407TGAMING OC-12GD,0.0
932,GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,GIGABYTE,4.3,95,1263.77,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4080-gv-n4080gaming-oc-16gd/p/N82E16814932561,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,GV-N4080GAMING OC-16GD,0.0
932,GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD,GIGABYTE,4.0,39,1239.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4080-gv-n4080eagle-oc-16gd/p/N82E16814932562,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,GV-N4080EAGLE OC-16GD,0.0
137,MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC,MSI,4.6,32,1249.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4080-rtx-4080-16gb-ventus-3x-oc/p/N82E16814137765,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4080 16GB VENTUS 3X OC,0.0
150,"XFX SPEEDSTER MERC319 AMD Radeon RX 6800 XT CORE Gaming Graphics Card with 16GB GDDR6 HDMI 3 x DP, AMD RDNA 2 (RX-68XTALFD9)",XFX,4.3,28,579.99,Free Shipping,https://www.newegg.com/xfx-radeon-rx-6800-xt-rx-68xtalfd9/p/N82E16814150848,,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX-68XTALFD9,0.0
137,MSI Mech Radeon RX 6500 XT 4GB GDDR6 PCI Express 4.0 Video Card RX 6500 XT MECH 2X 4G OC,MSI,4.2,13,164.99,Free Shipping,https://www.newegg.com/msi-radeon-rx-6500-xt-rx-6500-xt-mech-2x-4g-oc/p/N82E16814137709,7680 x 4320,1 x DisplayPort 1.4a,1 x HDMI 2.1,,RX 6500 XT MECH 2X 4G OC,0.0
137,MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM LIQUID X 24G,MSI,4.7,72,1799.99,$19.99 Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-suprim-liquid-x-24g/p/N82E16814137759,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 SUPRIM LIQUID X 24G,19.99
883,Intel Arc A770 Limited Edition 16GB PCI Express 4.0 Graphics Card 21P01J00BA,Intel,4.3,143,349.0,Free Shipping,https://www.newegg.com/intel-21p01j00ba/p/N82E16814883001,7680 x 4320,3 x DisplayPort 2.0,1 x HDMI 2.1,,21P01J00BA,0.0
932,GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD,GIGABYTE,4.7,154,1699.99,$9.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4090-gv-n4090gaming-oc-24gd/p/N82E16814932550,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,GV-N4090GAMING OC-24GD,9.99
932,GIGABYTE Gaming OC Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-R675XTGAMING OC-12GD,GIGABYTE,4.5,60,399.99,Free Shipping,https://www.newegg.com/gigabyte-gv-r675xtgaming-oc-12gd/p/N82E16814932519,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R675XTGAMING OC-12GD,0.0
930,ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6700XT CLD 12GO,ASRock,4.6,68,344.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6700-xt-rx6700xt-cld-12go/p/N82E16814930059,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX6700XT CLD 12GO,0.0
137,MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,MSI,4.6,72,1649.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-gaming-x-trio-24g/p/N82E16814137761,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 GAMING X TRIO 24G,0.0
137,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,MSI,4.8,301,364.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-ventus-2x-12g-oc/p/N82E16814137632,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RTX3060Ventus2X12GOC,0.0
126,"ASUS ROG Strix GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4090-O24G-GAMING",ASUS,4.8,45,2009.99,$19.99 Shipping,https://www.newegg.com/asus-geforce-rtx-4090-rog-strix-rtx4090-o24g-gaming/p/N82E16814126593,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,ROG-STRIX-RTX4090-O24G-GAMING,19.99
